ID,TIME,SENSOR,VALUE
1,12/3/2021 20:29:33,WaterLevel,2.41
2,12/3/2021 20:29:37,WaterLevel,2.1
3,12/3/2021 20:29:42,WaterLevel,2.12
4,12/3/2021 20:29:47,WaterLevel,2.49
5,12/3/2021 20:29:51,WaterLevel,2.18
6,12/3/2021 20:29:56,WaterLevel,2.07
7,12/3/2021 20:30:01,WaterLevel,2.52
8,12/3/2021 20:30:06,WaterLevel,2.2
9,12/3/2021 20:30:11,WaterLevel,2.06
10,12/3/2021 20:30:16,WaterLevel,2.52
11,12/3/2021 20:30:20,WaterLevel,2.4
12,12/3/2021 20:30:25,WaterLevel,2.01
13,12/3/2021 20:30:30,WaterLevel,2.28
14,12/3/2021 20:30:35,WaterLevel,2.48
15,12/3/2021 20:30:40,WaterLevel,1.97
16,12/3/2021 20:30:45,WaterLevel,2.34
17,12/3/2021 20:30:49,WaterLevel,2.4
18,12/3/2021 20:30:54,WaterLevel,2.28
19,12/3/2021 20:30:59,WaterLevel,1.98
20,12/3/2021 20:31:04,WaterLevel,2.52
21,12/3/2021 20:31:09,WaterLevel,2.52
22,12/3/2021 20:31:14,WaterLevel,2.36
23,12/3/2021 20:31:19,WaterLevel,1.95
24,12/3/2021 20:31:23,WaterLevel,2.23
25,12/3/2021 20:31:28,WaterLevel,2.52
26,12/3/2021 20:31:33,WaterLevel,2.36
27,12/3/2021 20:31:38,WaterLevel,2.04
28,12/3/2021 20:31:43,WaterLevel,2.01
29,12/3/2021 20:31:47,WaterLevel,2.47
30,12/3/2021 20:31:52,WaterLevel,2.49
31,12/3/2021 20:31:57,WaterLevel,2.37
32,12/3/2021 20:32:02,WaterLevel,1.93
33,12/3/2021 20:32:07,WaterLevel,2.31
34,12/3/2021 20:32:12,WaterLevel,2.51
35,12/3/2021 20:32:19,WaterLevel,2.33
36,12/3/2021 20:32:24,WaterLevel,1.97
37,12/3/2021 20:32:29,WaterLevel,2.01
38,12/3/2021 20:32:33,WaterLevel,2.4
39,12/3/2021 20:32:38,WaterLevel,2.46
40,12/3/2021 20:32:43,WaterLevel,2.37
41,12/3/2021 20:32:55,WaterLevel,2.02
42,12/3/2021 20:32:59,WaterLevel,2.22
43,12/3/2021 20:33:00,WaterLevel,2.16
44,12/3/2021 20:33:05,WaterLevel,2.49
45,12/3/2021 20:33:10,WaterLevel,2.45
46,12/3/2021 20:33:15,WaterLevel,2.43
47,12/3/2021 20:33:19,WaterLevel,2.41
48,12/3/2021 20:33:24,WaterLevel,2.52
49,12/3/2021 20:33:29,WaterLevel,2.4
50,12/3/2021 20:33:34,WaterLevel,2.5
51,12/3/2021 20:33:39,WaterLevel,2.4
52,12/3/2021 20:33:44,WaterLevel,2.4
53,12/3/2021 20:33:51,WaterLevel,2.18
54,12/3/2021 20:33:56,WaterLevel,1.94
55,12/3/2021 20:34:01,WaterLevel,2.4
56,12/3/2021 20:34:05,WaterLevel,2.48
57,12/3/2021 20:34:10,WaterLevel,2.13
58,12/3/2021 20:34:15,WaterLevel,2.04
59,12/3/2021 20:34:20,WaterLevel,2.41
60,12/3/2021 20:34:25,WaterLevel,2.51
61,12/3/2021 20:34:29,WaterLevel,2.28
62,12/3/2021 20:34:34,WaterLevel,1.97
63,12/3/2021 20:34:39,WaterLevel,1.97
64,12/3/2021 20:34:44,WaterLevel,2.04
65,12/3/2021 20:34:49,WaterLevel,2.37
66,12/3/2021 20:34:54,WaterLevel,2.52
67,12/3/2021 20:34:59,WaterLevel,2.5
68,12/3/2021 20:35:03,WaterLevel,2.52
69,12/3/2021 20:35:08,WaterLevel,2.45
70,12/3/2021 20:35:13,WaterLevel,2.52
71,12/3/2021 20:35:18,WaterLevel,2.49
72,12/3/2021 20:35:23,WaterLevel,2.47
73,12/3/2021 20:35:28,WaterLevel,2.52
74,12/3/2021 20:35:32,WaterLevel,2.43
